path,filename,class,label,width,height,aspect_ratio,brightness
D:\Dataset BDC26\train\0_Recyclable\R_1.jpg,R_1.jpg,0_Recyclable,0,314,160,1.9625,216.08853503184716
D:\Dataset BDC26\train\0_Recyclable\R_10.jpg,R_10.jpg,0_Recyclable,0,300,150,2.0,222.0382740740741
D:\Dataset BDC26\train\0_Recyclable\R_100.jpg,R_100.jpg,0_Recyclable,0,269,187,1.4385026737967914,144.00732229356765
D:\Dataset BDC26\train\0_Recyclable\R_1000.jpg,R_1000.jpg,0_Recyclable,0,300,168,1.7857142857142858,117.81204365079365
D:\Dataset BDC26\train\0_Recyclable\R_1001.jpg,R_1001.jpg,0_Recyclable,0,315,160,1.96875,175.86564153439153
D:\Dataset BDC26\train\0_Recyclable\R_1002.jpg,R_1002.jpg,0_Recyclable,0,290,174,1.6666666666666667,198.44871185097108
D:\Dataset BDC26\train\0_Recyclable\R_1003.jpg,R_1003.jpg,0_Recyclable,0,248,203,1.2216748768472907,181.6297539594258
D:\Dataset BDC26\train\0_Recyclable\R_1004.jpg,R_1004.jpg,0_Recyclable,0,275,183,1.5027322404371584,211.6917701606226
D:\Dataset BDC26\train\0_Recyclable\R_1005.jpg,R_1005.jpg,0_Recyclable,0,241,209,1.1531100478468899,220.88127618177847
D:\Dataset BDC26\train\0_Recyclable\R_1006.jpg,R_1006.jpg,0_Recyclable,0,300,168,1.7857142857142858,142.48326058201056
D:\Dataset BDC26\train\0_Recyclable\R_1007.jpg,R_1007.jpg,0_Recyclable,0,300,168,1.7857142857142858,151.49308201058201
D:\Dataset BDC26\train\0_Recyclable\R_1008.jpg,R_1008.jpg,0_Recyclable,0,315,160,1.96875,206.67214285714286
D:\Dataset BDC26\train\0_Recyclable\R_1009.jpg,R_1009.jpg,0_Recyclable,0,300,168,1.7857142857142858,170.027585978836
D:\Dataset BDC26\train\0_Recyclable\R_101.jpg,R_101.jpg,0_Recyclable,0,225,225,1.0,232.34764115226338
D:\Dataset BDC26\train\0_Recyclable\R_1010.jpg,R_1010.jpg,0_Recyclable,0,197,255,0.7725490196078432,235.2246043595103
D:\Dataset BDC26\train\0_Recyclable\R_1011.jpg,R_1011.jpg,0_Recyclable,0,299,168,1.7797619047619047,83.25075648988692
D:\Dataset BDC26\train\0_Recyclable\R_1012.jpg,R_1012.jpg,0_Recyclable,0,299,168,1.7797619047619047,157.12699739873653
D:\Dataset BDC26\train\0_Recyclable\R_1013.jpg,R_1013.jpg,0_Recyclable,0,225,225,1.0,245.84327901234568
D:\Dataset BDC26\train\0_Recyclable\R_1014.jpg,R_1014.jpg,0_Recyclable,0,259,194,1.3350515463917525,140.11277182926668
D:\Dataset BDC26\train\0_Recyclable\R_1015.jpg,R_1015.jpg,0_Recyclable,0,410,123,3.3333333333333335,200.1277612532223
D:\Dataset BDC26\train\0_Recyclable\R_1016.jpg,R_1016.jpg,0_Recyclable,0,400,126,3.1746031746031744,209.84474206349205
D:\Dataset BDC26\train\0_Recyclable\R_1017.jpg,R_1017.jpg,0_Recyclable,0,299,168,1.7797619047619047,127.71575887880236
